workspaceCode,code,caption,defaultStyleCode,measureCaption,measureUnit,scale,offset,tags,links
WAPOR-3,L1-AETI-A,Actual EvapoTranspiration and Interception (Global - Annual - 300m),AETI-A,Actual EvapoTranspiration and Interception,mm/year,0.1,0.0,"['AETI', 'ANNUAL', 'M300', 'WAPOR', 'WATER']",http://data.apps.fao.org/gismgr/api/v2/catalog/workspaces/WAPOR-3/mapsets/L1-AETI-A
WAPOR-3,L1-AETI-D,Actual EvapoTranspiration and Interception (Global - Dekadal - 300m),AETI-D-INT16,Actual EvapoTranspiration and Interception,mm/day,0.1,0.0,"['AETI', 'DEKADAL', 'M300', 'WAPOR', 'WATER']",http://data.apps.fao.org/gismgr/api/v2/catalog/workspaces/WAPOR-3/mapsets/L1-AETI-D
WAPOR-3,L1-AETI-M,Actual EvapoTranspiration and Interception (Global - Monthly - 300m),AETI-M,Actual EvapoTranspiration and Interception,mm/month,0.1,0.0,"['AETI', 'M300', 'MONTHLY', 'WAPOR', 'WATER']",http://data.apps.fao.org/gismgr/api/v2/catalog/workspaces/WAPOR-3/mapsets/L1-AETI-M
WAPOR-3,L1-E-A,Evaporation (Global - Annual - 300m),AETI-A,Evaporation,mm/year,0.1,0.0,"['ANNUAL', 'EVAPORATION', 'M300', 'WAPOR', 'WATER']",http://data.apps.fao.org/gismgr/api/v2/catalog/workspaces/WAPOR-3/mapsets/L1-E-A
WAPOR-3,L1-E-D,Evaporation (Global - Dekadal - 300m),AETI-D,Evaporation,mm/day,0.1,0.0,"['DEKADAL', 'EVAPORATION', 'M300', 'WAPOR', 'WATER']",http://data.apps.fao.org/gismgr/api/v2/catalog/workspaces/WAPOR-3/mapsets/L1-E-D
WAPOR-3,L1-GBWP-A,Gross biomass water productivity (Annual - 300m),BWP-A,Gross Biomass Water Productivity,kg/m³,0.001,0.0,"['ANNUAL', 'BIOMASS', 'PRODUCTION', 'WAPOR', 'WATER']",http://data.apps.fao.org/gismgr/api/v2/catalog/workspaces/WAPOR-3/mapsets/L1-GBWP-A
WAPOR-3,L1-I-A,Interception (Global - Annual - 300m),AETI-A,Interception,mm/year,0.1,0.0,"['ANNUAL', 'INTERCEPTION', 'M300', 'WAPOR', 'WATER']",http://data.apps.fao.org/gismgr/api/v2/catalog/workspaces/WAPOR-3/mapsets/L1-I-A
WAPOR-3,L1-I-D,Interception (Global - Dekadal - 300m),AETI-D,Interception,mm/day,0.1,0.0,"['DEKADAL', 'INTERCEPTION', 'M300', 'WAPOR', 'WATER']",http://data.apps.fao.org/gismgr/api/v2/catalog/workspaces/WAPOR-3/mapsets/L1-I-D
WAPOR-3,L1-NBWP-A,Net biomass water productivity (Annual - 300m),BWP-A,Net Biomass Water Productivity,kg/m³,0.001,0.0,"['ANNUAL', 'BIOMASS', 'PRODUCTION', 'WAPOR', 'WATER']",http://data.apps.fao.org/gismgr/api/v2/catalog/workspaces/WAPOR-3/mapsets/L1-NBWP-A
WAPOR-3,L1-NPP-D,Net Primary Production (Global - Dekadal - 300m),NPP,Net Primary Production,gC/m²/day,0.001,0.0,"['DEKADAL', 'M300', 'NPP', 'WAPOR', 'WATER']",http://data.apps.fao.org/gismgr/api/v2/catalog/workspaces/WAPOR-3/mapsets/L1-NPP-D
WAPOR-3,L1-NPP-M,Net Primary Production (Global - Monthly - 300m),NPP-M,Net Primary Production,gC/m²/month,0.001,0.0,"['M300', 'MONTHLY', 'NPP', 'WAPOR', 'WATER']",http://data.apps.fao.org/gismgr/api/v2/catalog/workspaces/WAPOR-3/mapsets/L1-NPP-M
WAPOR-3,L1-PCP-A,Precipitation (Global - Annual - Approximately 5km),PCP-A,Precipitation,mm/year,0.1,0.0,"['ANNUAL', 'KM5', 'PCP', 'PRECIPITATION', 'WAPOR', 'WATER']",http://data.apps.fao.org/gismgr/api/v2/catalog/workspaces/WAPOR-3/mapsets/L1-PCP-A
WAPOR-3,L1-PCP-D,Precipitation (Global - Dekadal - Approximately 5km),PCP-E,Precipitation,mm/day,0.1,0.0,"['DEKADAL', 'KM5', 'PCP', 'PRECIPITATION', 'WAPOR', 'WATER']",http://data.apps.fao.org/gismgr/api/v2/catalog/workspaces/WAPOR-3/mapsets/L1-PCP-D
WAPOR-3,L1-PCP-E,Precipitation (Global - Daily - Approximately 5km),PCP-E,Precipitation,mm/day,0.1,0.0,"['DAILY', 'KM5', 'PCP', 'PRECIPITATION', 'WAPOR', 'WATER']",http://data.apps.fao.org/gismgr/api/v2/catalog/workspaces/WAPOR-3/mapsets/L1-PCP-E
WAPOR-3,L1-PCP-M,Precipitation (Global - Monthly - Approximately 5km),PCP-M,Precipitation,mm/month,0.1,0.0,"['KM5', 'MONTHLY', 'PCP', 'PRECIPITATION', 'WAPOR', 'WATER']",http://data.apps.fao.org/gismgr/api/v2/catalog/workspaces/WAPOR-3/mapsets/L1-PCP-M
WAPOR-3,L1-QUAL-LST-D,Quality land surface temperature (Global - Dekadal - 300m),QUAL-LST-D,Quality Land Surface Temperature,d,1.0,0.0,"['ANCILLARY', 'DEKADAL', 'LST', 'WAPOR', 'WATER']",http://data.apps.fao.org/gismgr/api/v2/catalog/workspaces/WAPOR-3/mapsets/L1-QUAL-LST-D
WAPOR-3,L1-QUAL-NDVI-D,Quality of Normalized Difference Vegetation Index (Global - Dekadal - 300m),QUAL-NDVI-D,Quality of Normalized Difference Vegetation Index,d,1.0,0.0,"['ANCILLARY', 'M300', 'NDVI', 'WAPOR', 'WATER']",http://data.apps.fao.org/gismgr/api/v2/catalog/workspaces/WAPOR-3/mapsets/L1-QUAL-NDVI-D
WAPOR-3,L1-RET-A,Reference Evapotranspiration (Global - Annual - Approximately 30km),RET-A,Reference Evapotranspiration,mm/year,0.1,0.0,"['ANNUAL', 'EVAPOTRANSPIRATION', 'KM5', 'REFERENCE', 'RET', 'WAPOR', 'WATER']",http://data.apps.fao.org/gismgr/api/v2/catalog/workspaces/WAPOR-3/mapsets/L1-RET-A
WAPOR-3,L1-RET-D,Reference Evapotranspiration (Global - Dekadal - Approximately 30km),RET-E,Reference Evapotranspiration,mm/day,0.1,0.0,"['DEKADAL', 'EVAPOTRANSPIRATION', 'M300', 'REFERENCE', 'WAPOR', 'WATER']",http://data.apps.fao.org/gismgr/api/v2/catalog/workspaces/WAPOR-3/mapsets/L1-RET-D
WAPOR-3,L1-RET-E,Reference Evapotranspiration (Global - Daily - Approximately 30km),RET-E,Reference Evapotranspiration,mm/day,0.1,0.0,"['DAILY', 'EVAPOTRANSPIRATION', 'M300', 'REFERENCE', 'WAPOR', 'WATER']",http://data.apps.fao.org/gismgr/api/v2/catalog/workspaces/WAPOR-3/mapsets/L1-RET-E
WAPOR-3,L1-RET-M,Reference Evapotranspiration (Global - Monthly - Approximately 30km),RET-M,Reference Evapotranspiration,mm/month,0.1,0.0,"['EVAPOTRANSPIRATION', 'KM5', 'MONTHLY', 'REFERENCE', 'RET', 'WAPOR', 'WATER']",http://data.apps.fao.org/gismgr/api/v2/catalog/workspaces/WAPOR-3/mapsets/L1-RET-M
WAPOR-3,L1-RSM-D,Relative Soil Moisture (Global - Dekadal - 300m),RSM-D,Relative Soil Moisture,%,0.001,0.0,"['DEKADAL', 'M300', 'RSM', 'WAPOR', 'WATER']",http://data.apps.fao.org/gismgr/api/v2/catalog/workspaces/WAPOR-3/mapsets/L1-RSM-D
WAPOR-3,L1-T-A,Transpiration (Global - Annual - 300m),AETI-A,Transpiration,mm/year,0.1,0.0,"['ANNUAL', 'M300', 'TRANSPIRATION', 'WAPOR', 'WATER']",http://data.apps.fao.org/gismgr/api/v2/catalog/workspaces/WAPOR-3/mapsets/L1-T-A
WAPOR-3,L1-T-D,Transpiration (Global - Dekadal - 300m),AETI-D,Transpiration,mm/day,0.1,0.0,"['DEKADAL', 'M300', 'TRANSPIRATION', 'WAPOR', 'WATER']",http://data.apps.fao.org/gismgr/api/v2/catalog/workspaces/WAPOR-3/mapsets/L1-T-D
WAPOR-3,L1-TBP-A,Total Biomass Production (Global - Annual - 300m),TBP-A,Total Biomass Production,kg/ha,1.0,0.0,"['ANNUAL', 'BIOMASS', 'PRODUCTION', 'WAPOR', 'WATER']",http://data.apps.fao.org/gismgr/api/v2/catalog/workspaces/WAPOR-3/mapsets/L1-TBP-A
WAPOR-3,L2-AETI-A,Actual EvapoTranspiration and Interception (National - Annual - 100m),AETI-A,Actual EvapoTranspiration and Interception,mm/year,0.1,0.0,"['AETI', 'ANNUAL', 'M100', 'WAPOR', 'WATER']",http://data.apps.fao.org/gismgr/api/v2/catalog/workspaces/WAPOR-3/mapsets/L2-AETI-A
WAPOR-3,L2-AETI-D,Actual EvapoTranspiration and Interception (National - Dekadal - 100m),AETI-D-INT16,Actual EvapoTranspiration and Interception,mm/day,0.1,0.0,"['AETI', 'DEKADAL', 'M100', 'WAPOR', 'WATER']",http://data.apps.fao.org/gismgr/api/v2/catalog/workspaces/WAPOR-3/mapsets/L2-AETI-D
